,hospital_beds_per_thousand,date,location,cty_id
474,0.5,2020-08-17,Afghanistan,2
475,0.5,2020-08-18,Afghanistan,2
476,0.5,2020-08-19,Afghanistan,2
477,0.5,2020-08-20,Afghanistan,2
478,0.5,2020-08-21,Afghanistan,2
479,0.5,2020-08-22,Afghanistan,2
480,0.5,2020-08-23,Afghanistan,2
481,0.5,2020-08-24,Afghanistan,2
482,0.5,2020-08-25,Afghanistan,2
483,0.5,2020-08-26,Afghanistan,2
484,0.5,2020-08-27,Afghanistan,2
485,0.5,2020-08-28,Afghanistan,2
486,0.5,2020-08-29,Afghanistan,2
487,0.5,2020-08-30,Afghanistan,2
488,0.5,2020-08-31,Afghanistan,2
489,0.5,2020-09-01,Afghanistan,2
490,0.5,2020-09-02,Afghanistan,2
491,0.5,2020-09-03,Afghanistan,2
492,0.5,2020-09-04,Afghanistan,2
493,0.5,2020-09-05,Afghanistan,2
494,0.5,2020-09-06,Afghanistan,2
495,0.5,2020-09-07,Afghanistan,2
496,0.5,2020-09-08,Afghanistan,2
497,0.5,2020-09-09,Afghanistan,2
498,0.5,2020-09-10,Afghanistan,2
499,0.5,2020-09-11,Afghanistan,2
500,0.5,2020-09-12,Afghanistan,2
501,0.5,2020-09-13,Afghanistan,2
502,0.5,2020-09-14,Afghanistan,2
503,0.5,2020-09-15,Afghanistan,2
504,0.5,2020-09-16,Afghanistan,2
505,0.5,2020-09-17,Afghanistan,2
506,0.5,2020-09-18,Afghanistan,2
507,0.5,2020-09-19,Afghanistan,2
508,0.5,2020-09-20,Afghanistan,2
509,0.5,2020-09-21,Afghanistan,2
510,0.5,2020-09-22,Afghanistan,2
511,0.5,2020-09-23,Afghanistan,2
512,0.5,2020-09-24,Afghanistan,2
513,0.5,2020-09-25,Afghanistan,2
514,0.5,2020-09-26,Afghanistan,2
515,0.5,2020-09-27,Afghanistan,2
516,0.5,2020-09-28,Afghanistan,2
517,0.5,2020-09-29,Afghanistan,2
518,0.5,2020-09-30,Afghanistan,2
519,0.5,2020-10-01,Afghanistan,2
520,0.5,2020-10-02,Afghanistan,2
521,0.5,2020-10-03,Afghanistan,2
522,0.5,2020-10-04,Afghanistan,2
523,0.5,2020-10-05,Afghanistan,2
524,0.5,2020-10-06,Afghanistan,2
525,0.5,2020-10-07,Afghanistan,2
526,0.5,2020-10-08,Afghanistan,2
527,0.5,2020-10-09,Afghanistan,2
528,0.5,2020-10-10,Afghanistan,2
529,0.5,2020-10-11,Afghanistan,2
530,0.5,2020-10-12,Afghanistan,2
531,0.5,2020-10-13,Afghanistan,2
532,0.5,2020-10-14,Afghanistan,2
533,0.5,2020-10-15,Afghanistan,2
534,0.5,2020-10-16,Afghanistan,2
535,0.5,2020-10-17,Afghanistan,2
536,0.5,2020-10-18,Afghanistan,2
537,0.5,2020-10-19,Afghanistan,2
538,0.5,2020-10-20,Afghanistan,2
539,0.5,2020-10-21,Afghanistan,2
540,0.5,2020-10-22,Afghanistan,2
541,0.5,2020-10-23,Afghanistan,2
542,0.5,2020-10-24,Afghanistan,2
543,0.5,2020-10-25,Afghanistan,2
544,0.5,2020-10-26,Afghanistan,2
545,0.5,2020-10-27,Afghanistan,2
546,0.5,2020-10-28,Afghanistan,2
547,0.5,2020-10-29,Afghanistan,2
548,0.5,2020-10-30,Afghanistan,2
549,0.5,2020-10-31,Afghanistan,2
550,0.5,2020-11-01,Afghanistan,2
551,0.5,2020-11-02,Afghanistan,2
552,0.5,2020-11-03,Afghanistan,2
553,0.5,2020-11-04,Afghanistan,2
554,0.5,2020-11-05,Afghanistan,2
555,0.5,2020-11-06,Afghanistan,2
556,0.5,2020-11-07,Afghanistan,2
557,0.5,2020-11-08,Afghanistan,2
558,0.5,2020-11-09,Afghanistan,2
559,0.5,2020-11-10,Afghanistan,2
560,0.5,2020-11-11,Afghanistan,2
561,0.5,2020-11-12,Afghanistan,2
562,0.5,2020-11-13,Afghanistan,2
563,0.5,2020-11-14,Afghanistan,2
564,0.5,2020-11-15,Afghanistan,2
565,0.5,2020-11-16,Afghanistan,2
1041,2.89,2020-03-09,Albania,5
1042,2.89,2020-03-10,Albania,5
1043,2.89,2020-03-11,Albania,5
1044,2.89,2020-03-12,Albania,5
1045,2.89,2020-03-13,Albania,5
1046,2.89,2020-03-14,Albania,5
1047,2.89,2020-03-15,Albania,5
1048,2.89,2020-03-16,Albania,5
1049,2.89,2020-03-17,Albania,5
1050,2.89,2020-03-18,Albania,5
1051,2.89,2020-03-19,Albania,5
1052,2.89,2020-03-20,Albania,5
1053,2.89,2020-03-21,Albania,5
1054,2.89,2020-03-22,Albania,5
1055,2.89,2020-03-23,Albania,5
1056,2.89,2020-03-24,Albania,5
1057,2.89,2020-03-25,Albania,5
1058,2.89,2020-03-26,Albania,5
1059,2.89,2020-03-27,Albania,5
1060,2.89,2020-03-28,Albania,5
1061,2.89,2020-03-29,Albania,5
1062,2.89,2020-03-30,Albania,5
1063,2.89,2020-03-31,Albania,5
1064,2.89,2020-04-01,Albania,5
1065,2.89,2020-04-02,Albania,5
1066,2.89,2020-04-03,Albania,5
1067,2.89,2020-04-04,Albania,5
1068,2.89,2020-04-05,Albania,5
1069,2.89,2020-04-06,Albania,5
1070,2.89,2020-04-07,Albania,5
1071,2.89,2020-04-08,Albania,5
1072,2.89,2020-04-09,Albania,5
1073,2.89,2020-04-10,Albania,5
1074,2.89,2020-04-11,Albania,5
1075,2.89,2020-04-12,Albania,5
1076,2.89,2020-04-13,Albania,5
1077,2.89,2020-04-14,Albania,5
1078,2.89,2020-04-15,Albania,5
1079,2.89,2020-04-16,Albania,5
1080,2.89,2020-04-17,Albania,5
1081,2.89,2020-04-18,Albania,5
1082,2.89,2020-04-19,Albania,5
1083,2.89,2020-04-20,Albania,5
1084,2.89,2020-04-21,Albania,5
1085,2.89,2020-04-22,Albania,5
1086,2.89,2020-04-23,Albania,5
1087,2.89,2020-04-24,Albania,5
1088,2.89,2020-04-25,Albania,5
1089,2.89,2020-04-26,Albania,5
1090,2.89,2020-04-27,Albania,5
1091,2.89,2020-04-28,Albania,5
1092,2.89,2020-04-29,Albania,5
1093,2.89,2020-04-30,Albania,5
1094,2.89,2020-05-01,Albania,5
1095,2.89,2020-05-02,Albania,5
1096,2.89,2020-05-03,Albania,5
1097,2.89,2020-05-04,Albania,5
1098,2.89,2020-05-05,Albania,5
1099,2.89,2020-05-06,Albania,5
1100,2.89,2020-05-07,Albania,5
1101,2.89,2020-05-08,Albania,5
1102,2.89,2020-05-09,Albania,5
1103,2.89,2020-05-10,Albania,5
1104,2.89,2020-05-11,Albania,5
1105,2.89,2020-05-12,Albania,5
1106,2.89,2020-05-13,Albania,5
1107,2.89,2020-05-14,Albania,5
1108,2.89,2020-05-15,Albania,5
1109,2.89,2020-05-16,Albania,5
1110,2.89,2020-05-17,Albania,5
1111,2.89,2020-05-18,Albania,5
1112,2.89,2020-05-19,Albania,5
1113,2.89,2020-05-20,Albania,5
1114,2.89,2020-05-21,Albania,5
1115,2.89,2020-05-22,Albania,5
1116,2.89,2020-05-23,Albania,5
1117,2.89,2020-05-24,Albania,5
1118,2.89,2020-05-25,Albania,5
1119,2.89,2020-05-26,Albania,5
1120,2.89,2020-05-27,Albania,5
1121,2.89,2020-05-28,Albania,5
1122,2.89,2020-05-29,Albania,5
1123,2.89,2020-05-30,Albania,5
1124,2.89,2020-05-31,Albania,5
1125,2.89,2020-06-01,Albania,5
1126,2.89,2020-06-02,Albania,5
1127,2.89,2020-06-03,Albania,5
1128,2.89,2020-06-04,Albania,5
1129,2.89,2020-06-05,Albania,5
1130,2.89,2020-06-06,Albania,5
1131,2.89,2020-06-07,Albania,5
1132,2.89,2020-06-08,Albania,5
1133,2.89,2020-06-09,Albania,5
1134,2.89,2020-06-10,Albania,5
1135,2.89,2020-06-11,Albania,5
1136,2.89,2020-06-12,Albania,5
1137,2.89,2020-06-13,Albania,5
1138,2.89,2020-06-14,Albania,5
1139,2.89,2020-06-15,Albania,5
1140,2.89,2020-06-16,Albania,5
1141,2.89,2020-06-17,Albania,5
1142,2.89,2020-06-18,Albania,5
1143,2.89,2020-06-19,Albania,5
1144,2.89,2020-06-20,Albania,5
